    Item       #   Sales    Cost Revenue
       1       1    3.50    8.00    4.50
       2       0    0.00    0.00    0.00
       3       1    1.50    5.00    3.50
       4       3    4.50   15.00   10.50
       5       1    1.50    5.00    3.50
       6       2    3.00   10.00    7.00
       7       0    0.00    0.00    0.00
       8       1    0.60    2.50    1.90
       9       1    0.70    2.50    1.80
      10       1    1.00    3.50    2.50
      11       0    0.00    0.00    0.00
      12       3    3.60   10.50    6.90
      13       3    3.60   10.50    6.90
      14       0    0.00    0.00    0.00
      15       3    1.80    9.00    7.20
      16       0    0.00    0.00    0.00
      17       2    2.00    8.00    6.00
      18       2    2.20    8.00    5.80
      19       2    2.40    8.00    5.60
      20       2    5.00   17.00   12.00
      21       0    0.00    0.00    0.00
      22       2    5.00   17.00   12.00
      23       0    0.00    0.00    0.00
      24       2    5.00   17.00   12.00
      25       1    2.70    9.50    6.80
      26       0    0.00    0.00    0.00
      27       1    2.70    9.50    6.80
      28       2    5.40   19.00   13.60
      29       2    5.40   19.00   13.60
      30       1    2.90    9.50    6.60
      31       0    0.00    0.00    0.00
      32       1    3.50    8.00    4.50
      33       1    1.50    5.00    3.50
      34       1    1.50    5.00    3.50
      35       1    1.50    5.00    3.50
      36       2    3.00   10.00    7.00
      37       1    1.75    6.00    4.25
      38       1    1.75    6.00    4.25
      39       2    3.50   12.00    8.50
      40       0    0.00    0.00    0.00
      41       2    3.00   15.00   12.00
      42       4    6.00   30.00   24.00
      43       4    6.00   30.00   24.00
      44       0    0.00    0.00    0.00
      45       2    5.80   19.00   13.20
      46       3    8.70   28.50   19.80
      47       1    2.90    9.50    6.60
      48       2    5.80   19.00   13.20
      49       1    2.90    9.50    6.60
      50       1    1.50    7.50    6.00
